Product ID,Period,Variable,Value
23C,Q2 95,E,0.0
23C,Q2 95,SSV,0.0
23C,Q3 95,x,4705495600.0
23C,Q3 95,W,70388.865
23C,Q3 95,I,0.0
23C,Q3 95,S,0.0
23C,Q3 95,E,0.0
23C,Q3 95,SSV,0.0
23C,Q4 95,x,6467992300.0
23C,Q4 95,W,96753.811
23C,Q4 95,I,0.0
23C,Q4 95,S,0.0
23C,Q4 95,E,0.0
23C,Q4 95,SSV,0.0
23C,Q1 96,x,5867076900.0
23C,Q1 96,W,87764.8
23C,Q1 96,I,0.0
23C,Q1 96,S,0.0
23C,Q1 96,E,0.0
23C,Q1 96,SSV,0.0
23C,Q2 96,x,7781096300.0
23C,Q2 96,W,116396.36
23C,Q2 96,I,1504515700.0
23C,Q2 96,S,0.0
23C,Q2 96,E,0.0
23C,Q2 96,SSV,1.0
23C,Q3 96,x,13550641000.0
23C,Q3 96,W,202702.19
23C,Q3 96,I,0.0
23C,Q3 96,S,0.0
23C,Q3 96,E,0.0
23C,Q3 96,SSV,0.0
23C,Q4 96,x,6225735500.0
23C,Q4 96,W,93129.926
23C,Q4 96,I,0.0
23C,Q4 96,S,0.0
23C,Q4 96,E,0.0
23C,Q4 96,SSV,0.0
23C,Q1 97,x,5118025600.0
23C,Q1 97,W,76559.845
23C,Q1 97,I,0.0
23C,Q1 97,S,0.0
23C,Q1 97,E,0.0
23C,Q1 97,SSV,0.0
23C,Q2 97,x,2789209300.0
23C,Q2 97,W,0.0
23C,Q2 97,I,0.0
23C,Q2 97,S,0.0
23C,Q2 97,E,0.0
23C,Q2 97,SSV,0.0
23C,Q3 97,x,2116912400.0
23C,Q3 97,W,0.0
23C,Q3 97,I,0.0
23C,Q3 97,S,0.0
23C,Q3 97,E,0.0
23C,Q3 97,SSV,0.0
23C,Q4 97,x,4940239600.0
23C,Q4 97,W,73900.367
23C,Q4 97,I,0.0
23C,Q4 97,S,0.0
23C,Q4 97,E,0.0
23C,Q4 97,SSV,0.0
23C,Q1 98,x,1496928100.0
23C,Q1 98,W,0.0
23C,Q1 98,I,0.0
23C,Q1 98,S,0.0
23C,Q1 98,E,0.0
23C,Q1 98,SSV,0.0
23C,Q2 98,x,1476628000.0
23C,Q2 98,W,0.0
23C,Q2 98,I,0.0
23C,Q2 98,S,0.0
23C,Q2 98,E,0.0
23C,Q2 98,SSV,0.0
23C,Q3 98,x,1518438200.0
23C,Q3 98,W,0.0
23C,Q3 98,I,0.0
23C,Q3 98,S,0.0
23C,Q3 98,E,0.0
23C,Q3 98,SSV,0.0
23C,Q4 98,x,1133822000.0
23C,Q4 98,W,0.0
23C,Q4 98,I,0.0
23C,Q4 98,S,0.0
23C,Q4 98,E,0.0
23C,Q4 98,SSV,0.0
23C,Q1 99,x,1472132000.0
23C,Q1 99,W,0.0
23C,Q1 99,I,0.0
23C,Q1 99,S,0.0
23C,Q1 99,E,0.0
23C,Q1 99,SSV,0.0
